method,temperature,runs_requested,runs_successful,runs_failed,metric,n,mean,stddev,variance,min,max
mixkv,0.1,10,10,0,accuracy,10,0.2,0.010719585288706366,0.00011490950876184996,0.17796610169491525,0.211864406779661
mixkv,0.1,10,10,0,prefill_ms_mean,10,2303.760152542373,8.313583070567367,69.11566347122431,2282.6230508474578,2314.1834745762712
mixkv,0.1,10,10,0,prefill_ms_max,10,3061.632,271.6336067327948,73784.81630666663,2613.55,3355.69
mixkv,0.1,10,10,0,e2e_ms_mean,10,2390.724610169492,7.431383831129106,55.22546564556711,2375.491186440678,2401.697372881356
mixkv,0.1,10,10,0,e2e_ms_max,10,2726.9880000000003,90.8765626550653,8258.549640000008,2575.74,2849.62
mixkv,0.1,10,10,0,orig_frames_mean,10,110.0,0.0,0.0,110.0,110.0
mixkv,0.1,10,10,0,orig_frames_max,10,110.0,0.0,0.0,110.0,110.0
mixkv,0.1,10,10,0,used_frames_mean,10,110.0,0.0,0.0,110.0,110.0
mixkv,0.1,10,10,0,used_frames_max,10,110.0,0.0,0.0,110.0,110.0
mixkv,0.1,10,10,0,frame_keep_ratio_mean,10,1.0,0.0,0.0,1.0,1.0
mixkv,0.1,10,10,0,model_loaded_alloc_gb,10,16.64,0.0,0.0,16.64,16.64
mixkv,0.1,10,10,0,model_loaded_reserved_gb,10,20.89,0.0,0.0,20.89,20.89
mixkv,0.1,10,10,0,peak_alloc_gb,10,19.69,0.0,0.0,19.69,19.69
mixkv,0.1,10,10,0,peak_reserved_gb,10,23.6,0.0,0.0,23.6,23.6
mixkv,0.1,10,10,0,inference_extra_peak_alloc_gb,10,3.0400000000000027,0.0,0.0,3.0400000000000027,3.0400000000000027
mixkv,0.1,10,10,0,after_alloc_gb,10,16.65,0.0,0.0,16.65,16.65
mixkv,0.1,10,10,0,gpu_process_peak_gb,10,24.107421875,0.0,0.0,24.107421875,24.107421875
mixkv,0.1,10,10,0,gpu_total_peak_gb,10,24.1171875,0.0,0.0,24.1171875,24.1171875
mixkv,0.1,10,10,0,run_wall_s,10,804.2939169645309,3.7882736224894304,14.351017038849193,800.0271644592285,812.1067080497742
mixkv,0.9,10,10,0,accuracy,10,0.22033898305084745,0.03389830508474577,0.0011490950876185007,0.1694915254237288,0.2711864406779661
mixkv,0.9,10,10,0,prefill_ms_mean,10,2300.776661016949,4.178161319360044,17.457032010596468,2293.5212711864406,2305.8805932203386
mixkv,0.9,10,10,0,prefill_ms_max,10,3043.667,237.67665271447163,56490.19124555556,2838.22,3329.56
mixkv,0.9,10,10,0,e2e_ms_mean,10,2472.064661016949,13.738463668305084,188.74538396533876,2450.8403389830505,2491.609152542373
mixkv,0.9,10,10,0,e2e_ms_max,10,3498.1459999999997,216.67633164084464,46948.63269333329,3176.86,3952.39
mixkv,0.9,10,10,0,orig_frames_mean,10,110.0,0.0,0.0,110.0,110.0
mixkv,0.9,10,10,0,orig_frames_max,10,110.0,0.0,0.0,110.0,110.0
mixkv,0.9,10,10,0,used_frames_mean,10,110.0,0.0,0.0,110.0,110.0
mixkv,0.9,10,10,0,used_frames_max,10,110.0,0.0,0.0,110.0,110.0
mixkv,0.9,10,10,0,frame_keep_ratio_mean,10,1.0,0.0,0.0,1.0,1.0
mixkv,0.9,10,10,0,model_loaded_alloc_gb,10,16.64,0.0,0.0,16.64,16.64
mixkv,0.9,10,10,0,model_loaded_reserved_gb,10,20.89,0.0,0.0,20.89,20.89
mixkv,0.9,10,10,0,peak_alloc_gb,10,19.69,0.0,0.0,19.69,19.69
mixkv,0.9,10,10,0,peak_reserved_gb,10,23.601000000000003,0.00316227766016775,9.999999999996021e-06,23.6,23.61
mixkv,0.9,10,10,0,inference_extra_peak_alloc_gb,10,3.0400000000000027,0.0,0.0,3.0400000000000027,3.0400000000000027
mixkv,0.9,10,10,0,after_alloc_gb,10,16.65,0.0,0.0,16.65,16.65
mixkv,0.9,10,10,0,gpu_process_peak_gb,10,24.107421875,0.0,0.0,24.107421875,24.107421875
mixkv,0.9,10,10,0,gpu_total_peak_gb,10,24.1171875,0.0,0.0,24.1171875,24.1171875
mixkv,0.9,10,10,0,run_wall_s,10,812.1179039001465,2.183226882209557,4.766479619202462,808.6238884925842,814.4970769882202
