timestamp, index, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
2026/03/27 11:37:38.169, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:38.177, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17304 MiB, 100 %
2026/03/27 11:37:38.180, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17254 MiB, 100 %
2026/03/27 11:37:38.189, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:38.196, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:38.207, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:38.219, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 13 %
2026/03/27 11:37:38.230, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:39.240, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:39.240, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17304 MiB, 100 %
2026/03/27 11:37:39.241, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17254 MiB, 100 %
2026/03/27 11:37:39.241, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:39.241, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:39.360, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:39.360, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 14 %
2026/03/27 11:37:39.360, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:40.360, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:40.360, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17304 MiB, 100 %
2026/03/27 11:37:40.361, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17254 MiB, 100 %
2026/03/27 11:37:40.361, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:40.361, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:40.361, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:40.361, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:37:40.361, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:41.361, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 24 MiB, 0 %
2026/03/27 11:37:41.677, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17304 MiB, 100 %
2026/03/27 11:37:41.677, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17254 MiB, 100 %
2026/03/27 11:37:41.678, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:41.678, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:41.678, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:41.678, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:37:41.678, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:42.679, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 28 MiB, 0 %
2026/03/27 11:37:42.697, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17304 MiB, 100 %
2026/03/27 11:37:42.697, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17254 MiB, 100 %
2026/03/27 11:37:42.883, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:42.884, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:42.885, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
