timestamp, index, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
2026/03/27 12:03:36.357, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:36.359, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17304 MiB, 100 %
2026/03/27 12:03:36.363, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17254 MiB, 100 %
2026/03/27 12:03:36.367, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 12:03:36.370, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 12:03:36.374, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:36.376, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:36.379, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 12:03:37.382, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:37.538, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17304 MiB, 99 %
2026/03/27 12:03:37.538, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17254 MiB, 98 %
2026/03/27 12:03:37.539, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 12:03:37.539, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 12:03:37.539, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:37.539, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 4 MiB, 0 %
2026/03/27 12:03:37.539, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 12:03:38.539, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:38.613, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17304 MiB, 100 %
2026/03/27 12:03:38.613, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17254 MiB, 100 %
2026/03/27 12:03:38.613, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 12:03:38.613, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 12:03:38.613, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:38.613, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 4 MiB, 0 %
2026/03/27 12:03:38.614, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 12:03:39.614, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:39.614, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17304 MiB, 100 %
2026/03/27 12:03:39.614, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17254 MiB, 100 %
2026/03/27 12:03:39.614, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 12:03:39.614, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 12:03:39.614, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:39.615, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 12:03:39.615, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 12:03:40.615, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:40.615, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17304 MiB, 100 %
2026/03/27 12:03:40.615, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17254 MiB, 100 %
2026/03/27 12:03:40.804, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 12:03:40.804, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 12:03:40.804, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:40.804, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 13 %
2026/03/27 12:03:40.805, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 12:03:41.805, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:41.805, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17304 MiB, 98 %
2026/03/27 12:03:41.805, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17254 MiB, 98 %
2026/03/27 12:03:41.805, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 12:03:41.805, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 12:03:41.805, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:41.805, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 13 %
2026/03/27 12:03:41.805, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 12:03:42.805, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7558 MiB, 0 %
2026/03/27 12:03:42.805, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 12:03:42.805, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21987 MiB, 100 %
2026/03/27 12:03:42.805, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 12:03:42.805, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 12:03:42.806, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:42.806, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 14 %
2026/03/27 12:03:42.806, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 12:03:43.806, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 21 %
2026/03/27 12:03:43.806, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 12:03:43.806, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21987 MiB, 100 %
2026/03/27 12:03:43.806, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 12:03:43.879, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 12:03:43.880, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:43.880, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 14 %
2026/03/27 12:03:43.880, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 12:03:44.880, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 3 %
2026/03/27 12:03:44.881, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 12:03:44.881, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21987 MiB, 100 %
2026/03/27 12:03:44.881, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 12:03:44.881, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 12:03:44.881, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:44.881, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 12:03:44.881, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 12:03:45.881, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 0 %
2026/03/27 12:03:45.954, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 12:03:45.955, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 22007 MiB, 100 %
2026/03/27 12:03:45.955, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 12:03:45.955, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 12:03:45.955, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:45.956, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 12:03:45.956, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 12:03:46.956, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 0 %
2026/03/27 12:03:47.091, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 12:03:47.091, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 22013 MiB, 100 %
2026/03/27 12:03:47.091, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 12:03:47.091, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 99 %
2026/03/27 12:03:47.091, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 12:03:47.091, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 12:03:47.221, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 12:03:48.221, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 0 %
2026/03/27 12:03:48.222, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 12:03:48.222, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 22029 MiB, 100 %
